City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
9,Bundaberg,AU,77.29,scattered clouds,-24.85,152.35,Takalvan Motel
19,Vanimo,PG,78.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
20,Puerto Carreno,CO,76.24,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
25,Butaritari,KI,82.63,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
37,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
39,Awbari,LY,78.26,clear sky,26.5921,12.7805,فندق أوباري
42,Grand-Santi,GF,76.55,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
45,Kalmunai,LK,80.65,overcast clouds,7.4167,81.8167,VS Villa
48,Sabang,ID,81.84,scattered clouds,5.8933,95.3214,Hotel Citra
50,Pochutla,MX,81.45,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
56,Hithadhoo,MV,80.13,light rain,-0.6,73.0833,Scoop Guest House
58,Khargupur,IN,76.19,scattered clouds,27.3833,81.9833,MD Tufail Ansari ansaar nager karbla
61,Noumea,NC,75.18,few clouds,-22.2763,166.4572,Hôtel Le Lagon
65,Mao,ES,75.76,broken clouds,39.8885,4.2658,ARTIEM Capri
76,Guerrero Negro,MX,76.33,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
83,Eravur,LK,79.88,overcast clouds,7.7733,81.6095,Farhan KING House
87,Bengkulu,ID,78.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Mackay,AU,75.04,few clouds,-21.15,149.2,International Lodge Motel
93,Fort Morgan,US,75.85,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
97,Black River,JM,80.4,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
98,Westport,US,77.76,overcast clouds,41.1415,-73.3579,The Westport Inn
99,Basco,PH,84.06,few clouds,20.4487,121.9702,Nathaniel's Lodge
103,Kavieng,PG,84.83,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
109,Guangzhou,CN,84.15,light rain,23.1167,113.25,Guangzhou Hotel
113,Qui Nhon,VN,78.21,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
120,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Kahului,US,86.02,light rain,20.8947,-156.47,Maui Seaside Hotel
125,Sinnamary,GF,80.04,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
129,Semnan,IR,75.04,clear sky,35.5729,53.3971,Semnan Tourist Hotel
130,San Patricio,US,78.66,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
132,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
133,Bethel,US,76.5,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
136,Altamira,BR,81.01,overcast clouds,-3.2033,-52.2064,Requinte Hotel
139,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
141,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
