City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,55.9,90,10,9.01,clear sky
1,Necochea,AR,-38.5473,-58.7368,51.04,95,1,8.14,clear sky
2,Tuktoyaktuk,CA,69.4541,-133.0374,34.72,76,100,8.46,overcast clouds
3,Khasan,RU,42.4308,130.6434,63.3,64,25,5.37,scattered clouds
4,San Quintin,MX,30.4833,-115.95,72.3,71,5,10.83,clear sky
5,Rikitea,PF,-23.1203,-134.9692,74.03,77,100,24.05,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,42.46,70,40,12.66,light rain
7,Tadine,NC,-21.55,167.8833,72.27,55,77,15.75,broken clouds
8,Hilo,US,19.7297,-155.09,84.27,65,1,10.36,clear sky
9,Bundaberg,AU,-24.85,152.35,77.29,46,40,10.0,scattered clouds
10,Traverse City,US,44.7631,-85.6206,51.87,87,90,6.91,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,44.55,77,100,5.3,overcast clouds
12,Saint George,US,37.1041,-113.5841,91.94,13,1,1.99,clear sky
13,Mataura,NZ,-46.1927,168.8643,50.49,53,98,8.59,overcast clouds
14,Lebu,CL,-37.6167,-73.65,50.54,86,0,11.59,clear sky
15,Scottsbluff,US,41.8666,-103.6672,71.78,28,72,6.06,broken clouds
16,Barrow,US,71.2906,-156.7887,28.42,80,75,0.0,broken clouds
17,Ust-Koksa,RU,50.2696,85.6108,33.51,65,100,1.68,overcast clouds
18,Albany,US,42.6001,-73.9662,73.85,87,100,13.71,moderate rain
19,Vanimo,PG,-2.6741,141.3028,78.66,86,100,4.9,overcast clouds
20,Puerto Carreno,CO,6.189,-67.4859,76.24,91,100,5.21,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,51.03,90,79,6.55,broken clouds
22,Moree,AU,-29.4667,149.85,73.42,28,5,8.05,clear sky
23,Resen,MK,41.0889,21.0122,47.57,56,9,2.39,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,35.76,60,78,4.81,broken clouds
25,Butaritari,KI,3.0707,172.7902,82.63,76,6,15.55,light rain
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.78,67,22,8.75,few clouds
27,Ntchisi,MW,-13.5278,33.9149,56.16,78,5,3.51,clear sky
28,Jamestown,US,42.097,-79.2353,55.08,79,90,7.0,overcast clouds
29,Ostrovnoy,RU,68.0531,39.5131,43.2,85,11,13.67,few clouds
30,Avarua,CK,-21.2078,-159.775,77.05,50,16,6.91,few clouds
31,Varhaug,NO,58.6147,5.6457,48.88,69,100,14.45,overcast clouds
32,Waipawa,NZ,-41.4122,175.5153,62.92,53,0,10.16,clear sky
33,Port Alfred,ZA,-33.5906,26.891,60.89,81,100,15.59,overcast clouds
34,San Juan De La Maguana,DO,18.8059,-71.2299,74.62,89,100,1.5,overcast clouds
35,Buzdyak,RU,54.5833,54.55,50.72,48,100,14.09,light rain
36,Souillac,MU,-20.5167,57.5167,69.37,80,48,14.88,scattered clouds
37,San Cristobal,VE,7.7669,-72.225,75.38,98,100,3.56,overcast clouds
38,Kruisfontein,ZA,-34.0033,24.7314,54.88,77,100,9.62,overcast clouds
39,Awbari,LY,26.5921,12.7805,78.26,17,4,1.52,clear sky
40,Norman Wells,CA,65.282,-126.8329,37.36,83,100,10.4,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,69.01,87,65,8.08,broken clouds
42,Grand-Santi,GF,4.25,-54.3833,76.55,73,98,4.59,overcast clouds
43,Mahebourg,MU,-20.4081,57.7,69.26,79,31,15.82,scattered clouds
44,Talnakh,RU,69.4865,88.3972,32.63,79,8,6.71,clear sky
45,Kalmunai,LK,7.4167,81.8167,80.65,78,97,2.01,overcast clouds
46,Bluff,NZ,-46.6,168.3333,50.81,74,90,28.01,overcast clouds
47,Esperance,AU,-33.8667,121.9,56.66,57,47,10.85,scattered clouds
48,Sabang,ID,5.8933,95.3214,81.84,76,29,9.51,scattered clouds
49,Krasnoselkup,RU,65.7,82.4667,34.83,77,100,11.88,overcast clouds
50,Pochutla,MX,15.7432,-96.4661,81.45,85,93,3.65,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,69.35,80,38,11.25,scattered clouds
52,New Norfolk,AU,-42.7826,147.0587,55.76,70,15,5.99,few clouds
53,Chokurdakh,RU,70.6333,147.9167,36.12,78,100,6.15,overcast clouds
54,Gorodishche,RU,48.8045,44.4744,45.48,100,100,2.24,mist
55,Cape Town,ZA,-33.9258,18.4232,56.12,88,7,1.01,clear sky
56,Hithadhoo,MV,-0.6,73.0833,80.13,82,100,17.38,light rain
57,Kodiak,US,57.79,-152.4072,47.71,66,90,12.66,overcast clouds
58,Khargupur,IN,27.3833,81.9833,76.19,91,26,9.64,scattered clouds
59,Kemijarvi,FI,66.7131,27.4306,43.12,85,100,10.63,overcast clouds
60,Otofuke,JP,42.9917,143.2003,57.36,88,75,3.44,broken clouds
61,Noumea,NC,-22.2763,166.4572,75.18,56,23,18.07,few clouds
