City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coquimbo,CL,2021-09-15 20:53:12,-29.9533,-71.3436,58.73,72,0,13.8
1,Mersing,MY,2021-09-15 20:53:12,2.4312,103.8405,75.11,94,90,5.75
2,Port Alfred,ZA,2021-09-15 20:53:12,-33.5906,26.891,57.56,74,42,10.27
3,Udachnyy,RU,2021-09-15 20:53:13,66.4167,112.4,35.47,83,16,7.67
4,Mahebourg,MU,2021-09-15 20:53:13,-20.4081,57.7,70.09,88,75,10.36
5,Vaini,TO,2021-09-15 20:53:13,-21.2,-175.2,77.16,94,75,5.75
6,Kem,RU,2021-09-15 20:53:14,64.9555,34.5793,43.14,79,100,8.7
7,Mataura,NZ,2021-09-15 20:53:14,-46.1927,168.8643,43.48,91,97,1.19
8,Montepuez,MZ,2021-09-15 20:53:14,-13.1256,38.9997,70.11,74,47,6.64
9,Santa Maria,BR,2021-09-15 20:53:15,-29.6842,-53.8069,65.5,39,0,5.75
10,Castro,BR,2021-09-15 20:53:15,-24.7911,-50.0119,61.11,98,100,8.61
11,Punta Arenas,CL,2021-09-15 20:53:15,-53.15,-70.9167,39.31,56,40,24.16
12,Turukhansk,RU,2021-09-15 20:53:16,65.8167,87.9833,39.25,92,100,5.03
13,Yanam,IN,2021-09-15 20:53:16,16.7333,82.2167,78.64,87,100,3.47
14,Busselton,AU,2021-09-15 20:53:16,-33.65,115.3333,49.08,77,56,22.73
15,Price,US,2021-09-15 20:53:17,39.5994,-110.8107,86.72,14,0,7.94
16,Dikson,RU,2021-09-15 20:53:17,73.5069,80.5464,37.67,92,100,26.28
17,Tasiilaq,GL,2021-09-15 20:53:17,65.6145,-37.6368,34.84,99,100,7.52
18,Chuy,UY,2021-09-15 20:53:18,-33.6971,-53.4616,55.35,71,0,2.59
19,East London,ZA,2021-09-15 20:53:18,-33.0153,27.9116,60.31,61,74,12.57
20,Hasaki,JP,2021-09-15 20:53:18,35.7333,140.8333,66.6,78,15,18.19
21,Fort Nelson,CA,2021-09-15 20:53:19,58.8053,-122.7002,44.19,87,90,13.8
22,Klaksvik,FO,2021-09-15 20:53:19,62.2266,-6.589,50.92,78,100,3.94
23,Hermanus,ZA,2021-09-15 20:53:19,-34.4187,19.2345,52.9,80,2,4.61
24,New Norfolk,AU,2021-09-15 20:53:20,-42.7826,147.0587,38.71,78,7,2.51
25,Norrtalje,SE,2021-09-15 20:53:20,59.758,18.705,51.03,91,78,3.38
26,Severo-Kurilsk,RU,2021-09-15 20:53:20,50.6789,156.125,49.51,86,16,9.6
27,Cayenne,GF,2021-09-15 20:53:21,4.9333,-52.3333,87.84,75,6,5.01
28,Albany,US,2021-09-15 20:51:58,42.6001,-73.9662,76.15,90,100,9.98
29,Ushuaia,AR,2021-09-15 20:50:28,-54.8,-68.3,29.86,86,90,29.93
30,Rikitea,PF,2021-09-15 20:53:00,-23.1203,-134.9692,73.67,66,0,15.84
31,Carauari,BR,2021-09-15 20:53:21,-4.8828,-66.8958,91.83,47,79,2.28
32,Hilo,US,2021-09-15 20:49:13,19.7297,-155.09,86.29,73,75,5.75
33,Hobart,AU,2021-09-15 20:53:22,-42.8794,147.3294,39.06,92,20,1.99
34,Necochea,AR,2021-09-15 20:53:22,-38.5473,-58.7368,59.04,70,19,9.22
35,Umm Lajj,SA,2021-09-15 20:53:23,25.0213,37.2685,86.58,44,41,12.64
36,Mayo,US,2021-09-15 20:50:23,38.8876,-76.5119,90.37,69,91,8.01
37,Faanui,PF,2021-09-15 20:53:23,-16.4833,-151.75,78.82,74,6,18.21
38,Basco,PH,2021-09-15 20:53:23,20.4487,121.9702,83.84,74,3,7.61
39,Worcester,US,2021-09-15 20:53:24,42.3334,-71.8328,82.81,73,20,1.01
40,Pevek,RU,2021-09-15 20:53:24,69.7008,170.3133,30.11,75,100,11.74
41,Beyla,GN,2021-09-15 20:53:25,8.6833,-8.6333,68.97,96,96,3.09
42,Marsa Matruh,EG,2021-09-15 20:53:25,31.3525,27.2453,79.0,57,0,6.91
43,Beringovskiy,RU,2021-09-15 20:53:25,63.05,179.3167,42.03,71,82,15.17
44,Cape Town,ZA,2021-09-15 20:50:48,-33.9258,18.4232,55.89,82,20,1.99
45,Thompson,CA,2021-09-15 20:53:26,55.7435,-97.8558,64.56,52,75,9.22
46,Shingu,JP,2021-09-15 20:53:26,33.7333,135.9833,73.9,89,94,7.27
47,Saint-Philippe,RE,2021-09-15 20:53:26,-21.3585,55.7679,70.21,82,25,7.92
48,Tuktoyaktuk,CA,2021-09-15 20:53:27,69.4541,-133.0374,48.2,76,75,8.05
49,Nikolskoye,RU,2021-09-15 20:53:27,59.7035,30.7861,44.49,91,97,4.74
50,Korla,CN,2021-09-15 20:53:27,41.7597,86.1469,71.11,35,6,3.42
51,Kavaratti,IN,2021-09-15 20:53:28,10.5669,72.642,81.46,78,38,18.5
52,Yellowknife,CA,2021-09-15 20:53:28,62.456,-114.3525,48.72,76,90,19.57
53,Colesberg,ZA,2021-09-15 20:53:28,-30.72,25.0972,45.7,73,0,20.07
54,Dhidhdhoo,MV,2021-09-15 20:53:29,6.8833,73.1,82.58,75,100,17.81
55,Faya,SA,2021-09-15 20:53:29,18.3851,42.4509,68.52,39,76,3.29
56,Young,UY,2021-09-15 20:53:29,-32.6833,-57.6333,66.22,63,0,1.32
57,Kabalo,CD,2021-09-15 20:53:30,-6.05,26.9167,76.59,67,70,3.49
58,Khatanga,RU,2021-09-15 20:53:30,71.9667,102.5,40.24,94,100,9.66
59,Coihaique,CL,2021-09-15 20:53:30,-45.5752,-72.0662,55.35,50,75,8.05
60,Victoria,HK,2021-09-15 20:53:31,22.2855,114.1577,86.32,81,100,6.62
61,Ixtapa,MX,2021-09-15 20:53:31,20.7,-105.2,83.23,84,81,4.0
62,Mar Del Plata,AR,2021-09-15 20:53:31,-38.0023,-57.5575,66.22,27,0,17.27
63,Puerto Ayora,EC,2021-09-15 20:53:32,-0.7393,-90.3518,76.96,89,63,11.01
64,Naze,JP,2021-09-15 20:53:32,28.3667,129.4833,78.8,84,100,15.01
65,Dukat,RU,2021-09-15 20:53:32,62.55,155.55,43.47,66,100,3.67
66,Hamilton,US,2021-09-15 20:53:33,39.1834,-84.5333,79.0,78,93,4.0
67,Esperance,AU,2021-09-15 20:53:33,-33.8667,121.9,58.84,65,54,17.56
68,Manokwari,ID,2021-09-15 20:53:33,-0.8667,134.0833,77.43,79,100,5.59
69,Saldanha,ZA,2021-09-15 20:53:34,-33.0117,17.9442,53.65,79,0,20.24
70,Trat,TH,2021-09-15 20:53:34,12.5,102.5,74.05,97,95,2.48
71,Kokstad,ZA,2021-09-15 20:53:34,-30.5472,29.4241,48.78,87,100,3.67
72,Guerrero Negro,MX,2021-09-15 20:53:35,27.9769,-114.0611,78.69,57,1,20.2
73,Narsaq,GL,2021-09-15 20:53:35,60.9167,-46.05,39.54,62,0,2.93
74,Esso,RU,2021-09-15 20:53:35,55.9333,158.7,46.27,58,15,4.21
75,Nador,MA,2021-09-15 20:53:36,35.174,-2.9287,70.05,88,0,2.3
76,Atuona,PF,2021-09-15 20:53:36,-9.8,-139.0333,77.83,74,2,23.89
77,Margate,GB,2021-09-15 20:53:37,51.3813,1.3862,60.89,84,98,1.1
78,Black Forest,US,2021-09-15 20:53:37,39.0131,-104.7008,85.75,29,1,7.0
79,Botucatu,BR,2021-09-15 20:53:37,-22.8858,-48.445,69.4,72,46,12.3
